1,Побег из Шоушенка,1994,Фрэнк Дарабонт
2,Крёстный отец,1972,Фрэнсис Форд Кополла
3,Крёстный отец 2,1974,Фрэнсис Форд Кополла
4,Тёмный рыцарь,2008,Кристофер Нолан
5,12 разгневанных мужчин,1957,Сидни Люмет
6,Список Шиндлера,1993,Стивен Спилберг
7,Властелин колец: Возвращение короля,2003,Питер Джексон
8,Криминальное чтиво,1994,Квентин Тарантино
9,"Хороший, плохой, злой",1966,Серджо Леоне
10,Властелин колец: Братство Кольца,2001,Питер Джексон
11,Бойцовский клуб,1999,Дэвид Финчер
12,Форрест Гамп,1994,Роберт Земекис
13,Начало,2010,Кристофер Нолан
14,Властелин колец: Две крепости,2002,Питер Джексон
15,Звёздные войны. Эпизод 5: Империя наносит ответный удар,1980,Ирвин Кершнер
16,Матрица,1999,Энди и Ларри Вачовски
17,Славные парни,1990,Мартин Скорсезе
18,Пролетая над гнездом кукушки,1975,Милош Форман
19,Семь самураев,1954,Акира Куросава
20,Семь,1995,Дэвид Финчер
21,Молчание ягнят,1991,Джонатан Демми
22,Город Бога,2002,Фернанду Мейреллиш
23,Жизнь прекрасна,1997,Роберто Бениньи
24,Эта прекрасная жизнь,1946,Фрэнк Капра
25,Звёздные войны. Эпизод IV: Новая надежда,1977,Джордж Лукас
26,Спасти рядового Райана,1998,Стивен Спилберг
27,Зелёная миля,1999,Фрэнк Дарабонт
28,Унесённые призраками,2001,Хаяо Миядзаки
29,Интерстеллар,2014,Кристофер Нолан
30,Паразиты,2019,Пон Чжун Хо
31,Леон,1994,Люк Бессон
32,Харакири,1962,Масаки Кобаяси
33,Подозрительные лица,1995,Брайан Сингер
34,Король Лев,1994,"Роджер Аллерс,Роб Минкофф"
35,Пианист,2002,Роман Полански
36,Терминатор 2: Судный день,1991,Джеймс Кэмерон
37,Назад в будущее,1985,Роберт Земекис
38,Американская история Икс,1998,Тони Кэй
39,Новые времена,1936,Чарли Чаплин
40,Гладиатор,2000,Ридли Скотт
41,Психо,1960,Альфред Хичкок
42,Отступники,2006,Мартин Скорсезе
43,Огни большого города,1931,Чарли Чаплин
44,1+1,2011,"Оливье Накаш,Эрик Толедано"
45,Одержимость,2014,Дамьен Шазель
46,Могила светлячков,1988,Исао Такахата
47,Престиж,2006,Кристофер Нолан
48,Однажды на Диком Западе,1968,Серджо Леоне
49,Касабланка,1942,Майкл Кёртиц
50,Новый кинотеатр «Парадизо»,1988,Джузеппе Торнаторе
51,Окно во двор,1954,Альфред Хичкок
52,Чужой,1979,Ридли Скотт
53,Апокалипсис сегодня,1979,Фрэнсис Форд Коппола
54,Помни,2000,Кристофер Нолан
55,Великий диктатор,1940,Чарли Чаплин
56,Индиана Джонс: В поисках утраченного ковчега,1981,Стивен Спилберг
57,Джанго освобождённый,2012,Квентин Тарантино
58,Жизнь других,2006,Флориан Хенкель фон Доннерсмарк
59,Гамильтон,2020,Томас Каил
60,Тропы славы,1957,Стэнли Кубрик
61,Джокер,2019,Тодд Филлипс
62,ВАЛЛ-И,2008,Эндрю Стэнтон
63,Сияние,1980,Стэнли Кубрик
64,Мстители: Война бесконечности,2018,Братья Руссо
65,Бульвар Сансет,1950,Билли Уайлдер
66,Свидетель обвинения,1957,Билли Уайлдер
67,Олдбой,2003,Пак Чхан Ук
68,Человек-паук: Через вселенные,2018,Боб Персичетти
69,Принцесса Мононоке,1997,Хаяо Миядзаки
70,"Доктор Стрейнджлав, или Как я перестал бояться и полюбил бомбу",1964,Стэнли Кубрик
71,Тёмный рыцарь: Возрождение легенды,2012,Кристофер Нолан
72,Однажды в Америке,1984,Серджо Леоне
73,Твоё имя,2016,Макото Синкай
74,Чужие,1986,Джеймс Кэмерон
75,Тайна Коко,2017,"Ли Анкрич, Эдриан Молина"
76,Мстители: Финал,2019,Братья Руссо
77,Капернаум,2018,Надин Лабаки
78,Красота по-американски,1999,Сэм Мендес
79,Храброе сердце,1995,Мел Гибсон
80,Рай и ад,1963,Акира Куросава
81,Подводная лодка,1981,Вольфганг Петерсен
82,История игрушек,1995,Джон Лассетер
83,3 идиота,2009,Раджкумар Хирани
84,Амадей,1984,Милош Форман
85,Бесславные ублюдки,2009,Квентин Тарантино
86,Умница Уилл Хантинг,1997,Гас Ван Сент
87,Звёздные войны. Эпизод VI: Возвращение джедая,1983,Ричард Маркуанд
88,Звёздочки на земле,2007,Аамир Хан
89,Бешеные псы,1992,Квентин Тарантино
90,Космическая одиссея 2001 года,1968,Стэнли Кубрик
91,Реквием по мечте,2000,Даррен Аронофски
92,Охота,2012,Томас Винтерберг
93,Головокружение,1958,Альфред Хичкок
94,М,1931,Фриц Ланг
95,Вечное сияние чистого разума,2004,Мишель Гондри
96,Гражданин Кейн,1941,Орсон Уэллс
97,Дангал,2016,Нитеш Тивари
98,Лига справедливости Зака Снайдера,2021,Зак Снайдер
99,Поющие под дождём,1952,"Стэнли Донен, Джин Келли"
100,Малыш,1921,Чарли Чаплин
101,Похитители велосипедов,1948,Витторио де Сика
102,Цельнометаллическая оболочка,1987,Стэнли Кубрик
103,Иди и смотри,1985,Элем Климов
104,Жить,1952,Акира Куросава
105,Большой куш,2000,Гай Ричи
106,К северу через северо-запад,1959,Альфред Хичкок
107,Заводной апельсин,1971,Стэнли Кубрик
108,Лицо со шрамом,1983,Брайан де Пальма
109,1917,2019,Сэм Мендес
110,Таксист,1976,Мартин Скорсезе
111,Пожары,2010,Дени Вильнёв
112,Развод Надера и Симин,2011,Асгар Фархади
113,История игрушек: Большой побег,2010,Ли Анкрич
114,Лоуренс Аравийский,1962,Дэвид Лин
115,Афера,1973,Джордж Рой Хилл
116,Амели,2001,Жан-Пьер Жене
117,Метрополис,1927,Фриц Ланг
118,Квартира,1960,Билли Уайлдер
119,На несколько долларов больше,1965,Серджо Леоне
120,Двойная страховка,1944,Билли Уайлдер
121,Убить пересмешника,1962,Роберт Маллиган
122,Вверх,2009,Пит Доктер
123,Индиана Джонс и последний крестовый поход,1989,Стивен Спилберг
124,Схватка,1995,Майкл Манн
125,Секреты Лос-Анджелеса,1997,Кёртис Хэнсон
126,Зелёная книга,2018,Питер Фаррелли
127,Крепкий орешек,1988,Джон Мактирнан
128,Бэтмен: Начало,2005,Кристофер Нолан
129,Монти Пайтон и Священный Грааль,1975,"Терри Гиллиам, Терри Джонс"
130,Телохранитель,1961,Акира Куросава
131,Расёмон,1950,Акира Куросава
132,Бункер,2004,Оливер Хиршбигель
133,Дети небес,1997,Маджид Маджиди
134,Ран,1985,Акира Куросава
135,Непрощённый,1992,Клинт Иствуд
136,В джазе только девушки,1959,Билли Уайлдер
137,Ходячий замок,2004,Хаяо Миядзаки
138,Всё о Еве,1950,Джозеф Лео Манкевич
139,Казино,1995,Мартин Скорсезе
140,Игры разума,2001,Рон Ховард
141,Волк с Уолл-стрит,2013,Мартин Скорсезе
142,Большой побег,1963,Джон Стёрджес
143,Лабиринт фавна,2006,Гильермо дель Торо
144,Нефть,2007,Пол Томас Андерсон
145,Тайна в его глазах,2009,Хуан Хосе Кампанелья
146,"Карты, деньги, два ствола",1998,Гай Ричи
147,Нюрнбергский процесс,1961,Стэнли Крамер
148,Бешеный бык,1980,Мартин Скорсезе
149,Мой сосед Тоторо,1988,Хаяо Миядзаки
150,Сокровища Сьерра-Мадре,1948,Джон Хьюстон
151,В случае убийства набирайте «М»,1954,Альфред Хичкок
152,"Три билборда на границе Эббинга, Миссури",2017,Мартин Макдонах
153,Остров проклятых,2010,Мартин Скорсезе
154,Китайский квартал,1974,Роман Полански
155,Золотая лихорадка,1925,Чарли Чаплин
156,Мой отец и мой сын,2005,Чаган Ырмак
157,Старикам тут не место,2007,Братья Коэн
158,V — значит вендетта,2006,Джеймс Мактиг
159,Головоломка,2015,Пит Доктер
160,Нечто,1982,Джон Карпентер
161,Человек-слон,1980,Дэвид Линч
162,Седьмая печать,1957,Ингмар Бергман
163,Воин,2011,Гэвин О’Коннор
164,Шестое чувство,1999,М. Найт Шьямалан
165,Парк юрского периода,1993,Стивен Спилберг
166,Клаус,2019,"Джинко Гото, Серхио Паблос, Марисо Роман"
167,На игле,1996,Дэнни Бойл
168,Шоу Трумана,1998,Питер Уир
169,Унесённые ветром,1939,Виктор Флеминг
170,В поисках Немо,2003,Эндрю Стэнтон
171,Сталкер,1979,Андрей Тарковский
172,Земляничная поляна,1957,Ингмар Бергман
173,Воспоминания об убийстве,2003,Пон Чжун Хо
174,Убить Билла. Фильм 1,2003,Квентин Тарантино
175,Бегущий по лезвию,1982,Ридли Скотт
176,Мост через реку Квай,1957,Дэвид Лин
177,Фарго,1996,Братья Коэн
178,Комната,2015,Ленни Абрахамсон
179,Дикие истории,2014,"Шифрон, Дамиан"
180,Токийская повесть,1953,Ясудзиро Одзу
181,Гран Торино,2008,Клинт Иствуд
182,Третий человек,1949,Кэрол Рид
183,В порту,1954,Элиа Казан
184,Охотник на оленей,1978,Майкл Чимино
185,Во имя отца,1993,Джим Шеридан
186,Мэри и Макс,2009,Адам Эллиот
187,Отель «Гранд Будапешт»,2014,Уэс Андерсон
188,Перед рассветом,1995,Ричард Линклейтер
189,"Поймай меня, если сможешь",2002,Стивен Спилберг
190,Исчезнувшая,2014,Дэвид Финчер
191,По соображениям совести,2016,Мел Гибсон
192,Пленницы,2013,Дени Вильнёв
193,Персона,1966,Ингмар Бергман
194,Стреляйте в пианиста,2018,Шрирам Рагхаван
195,Шерлок-младший,1924,Бастер Китон
196,Большой Лебовски,1998,Братья Коэн
197,Барри Линдон,1975,Стэнли Кубрик
198,Быть или не быть,1942,Эрнст Любич
199,Генерал,1927,"Клайд Брукман, Бастер Китон"
200,Как приручить дракона,2010,"Крис Сандерс, Дин Деблуа"
201,Ford против Ferrari,2019,Джеймс Мэнголд
202,12 лет рабства,2013,Стив Маккуин
203,Осенняя соната,1978,Ингмар Бергман
204,Бандит,1996,Явуз Тургул
205,Мистер Смит едет в Вашингтон,1939,Фрэнк Капра
206,Ананд,1971,Ришикеш Мукхерджи
207,Безумный Макс: Дорога ярости,2015,Джордж Миллер
208,Общество мёртвых поэтов,1989,Питер Уир
209,Малышка на миллион,2004,Клинт Иствуд
210,Гарри Поттер и Дары Смерти. Часть 2,2011,Дэвид Йейтс
211,Останься со мной,1986,Роб Райнер
212,Телесеть,1975,Сидни Люмет
213,Бен-Гур,1959,Уильям Уайлер
214,Хатико: Самый верный друг,2009,Лассе Халльстрём
215,Золушка,2018,Рам Кумар
216,Служанка,2016,Пак Чхан Ук
217,Хладнокровный Люк,1967,Стюарт Розенберг
218,Логан,2017,Джеймс Мэнголд
219,Взвод,1986,Оливер Стоун
220,В диких условиях,2007,Шон Пенн
221,Плата за страх,1953,Анри-Жорж Клузо
222,Гонка,2013,Рон Ховард
223,Ненависть,1995,Матьё Кассовиц
224,Житие Брайана по Монти Пайтону,1979,Терри Джонс
225,Четыреста ударов,1959,Франсуа Трюффо
226,Страсти Жанны д’Арк,1928,Карл Теодор Дрейер
227,В центре внимания,2015,Томас Маккарти
228,Душа,2020,Пит Доктер
229,Отель Руанда,2004,Терри Джордж
230,Банды Вассейпура,2012,Анураг Кашьяп
231,Сука любовь,2000,Алехандро Гонсалес Иньярриту
232,Андрей Рублёв,1966,Андрей Тарковский
233,Корпорация монстров,2001,"Пит Доктер, Дэвид Сильверман"
234,Рокки,1976,Джон Эвилдсен
235,Навсикая из Долины ветров,1984,Хаяо Миядзаки
236,Ребекка,1940,Альфред Хичкок
237,Время цыган,1988,Эмир Кустурица
238,Перед закатом,2004,Ричард Линклейтер
239,Любовное настроение,2000,Вонг Карвай
240,Мужские разборки,1955,Жюль Дассен
241,Цвет шафрана,2006,Ракеш Омпракаш Мехра
242,"Париж, Техас",1984,Вим Вендерс
243,Видимость,2013,Джитху Джозеф
244,Портрет девушки в огне,2019,Селин Сьямма
245,Это случилось однажды ночью,1934,Фрэнк Капра
246,Конец Евангелиона,1997,"Хидэаки Анно,Кадзуя Цурумаки"
247,Форма голоса,2016,Наоко Ямада
248,Видимость,2015,Нишикант Камат
249,Возвращение на Родину,2004,Ашутош Говарикер
250,Невидимый гость,2016,Ориол Паоло
